------------------rank by average------------------
Item		Average		CollabNum
228		4.09091		22
22		4.08333		24
195		4.08		25
480		4.07692		13
651		4.07692		13
328		4.07692		13
87		4.07692		13
197		4.07143		14
7		4.06897		29
511		4.0625		16
97		4.05882		17
9		4.05263		19
426		4		1
1181		4		1
305		4		1
306		4		5
1169		4		1
612		4		2
312		4		2
655		4		14
587		4		2
584		4		3
960		4		2
962		4		2
1051		4		1
415		4		1
414		4		2
939		4		3
1055		4		1
965		4		1
614		4		1
969		4		3
904		4		1
1226		4		1
1225		4		1
608		4		1
610		4		1
881		4		2
270		4		5
886		4		2
459		4		1
277		4		3
1216		4		1
468		4		5
1027		4		1
633		4		1
632		4		2
1197		4		3
707		4		3
956		4		1
650		4		3
298		4		10
299		4		2
443		4		7
441		4		1
693		4		7
989		4		1
347		4		2
510		4		8
993		4		6
994		4		1
1094		4		2
1004		4		1
922		4		5
372		4		2
622		4		3
533		4		1
528		4		5
512		4		3
524		4		4
1121		4		1
355		4		1
520		4		9
365		4		3
1118		4		2
915		4		1
522		4		4
1113		4		1
1160		4		1
701		4		1
1159		4		1
971		4		2
631		4		8
496		4		14
499		4		3
1072		4		1
500		4		1
698		4		1
974		4		1
697		4		1
906		4		1
938		4		1
617		4		1
1018		4		2
936		4		1
1138		4		1
985		4		1
1136		4		2
1088		4		1
507		4		2
344		4		2
1288		4		1
160		4		4
737		4		2
33		4		7
34		4		1
1481		4		1
842		4		1
1518		4		2
1488		4		1
75		4		1
1490		4		1
730		4		3
179		4		11
39		4		4
1499		4		1
773		4		1
46		4		3
183		4		25
836		4		2
48		4		14
190		4		7
731		4		1
1279		4		1
192		4		7
60		4		4
873		4		1
202		4		23
59		4		5
213		4		7
58		4		13
1240		4		3
1411		4		1
123		4		4
115		4		1
752		4		1
1439		4		2
134		4		9
806		4		4
1335		4		1
244		4		2
14		4		3
242		4		4
1321		4		1
15		4		19
96		4		26
763		4		7
19		4		2
1600		4		1
789		4		2
95		4		17
863		4		1
875		4		1
812		4		1
257		3.95652		23
28		3.95455		22
238		3.94118		17
151		3.94118		17
198		3.93333		15
427		3.92857		14
282		3.92857		14
588		3.92308		13
193		3.91667		12
137		3.91667		12
732		3.91667		12
268		3.90909		11
471		3.90909		11
191		3.9		20
23		3.9		10
429		3.88889		9
484		3.88889		9
234		3.88889		18
746		3.88889		9
204		3.88462		26
185		3.86667		15
203		3.86667		15
211		3.86667		15
117		3.86364		22
462		3.85714		7
55		3.85714		14
212		3.85714		7
293		3.85714		7
385		3.85		20
433		3.85		20
111		3.84615		13
180		3.84211		19
423		3.84211		19
647		3.83333		6
844		3.83333		6
177		3.83333		12
425		3.83333		6
332		3.83333		6
710		3.81818		11
742		3.8125		16
82		3.8125		16
750		3.8		5
482		3.8		10
124		3.8		10
331		3.8		5
727		3.8		5
458		3.8		5
1011		3.8		5
71		3.78571		14
175		3.77778		18
434		3.77778		9
568		3.77778		18
275		3.77778		9
150		3.76923		13
246		3.75		4
380		3.75		12
526		3.75		8
478		3.75		4
529		3.75		4
52		3.75		4
32		3.75		4
729		3.75		8
699		3.75		4
188		3.73333		15
393		3.72727		11
516		3.71429		7
340		3.71429		7
506		3.71429		7
310		3.71429		7
486		3.71429		7
92		3.71429		7
125		3.7		10
248		3.7		10
250		3.69231		13
24		3.69231		13
258		3.68966		29
653		3.66667		3
469		3.66667		3
31		3.66667		15
640		3.66667		9
1046		3.66667		3
585		3.66667		3
62		3.66667		12
463		3.66667		3
943		3.66667		3
489		3.66667		3
796		3.66667		3
553		3.66667		3
99		3.66667		9
827		3.66667		3
596		3.66667		9
537		3.66667		3
550		3.66667		12
955		3.66667		3
604		3.66667		3
602		3.66667		3
208		3.66667		15
215		3.66667		12
381		3.66667		3
276		3.66667		15
307		3.66667		9
265		3.66667		15
170		3.66667		6
287		3.66667		3
662		3.66667		6
161		3.66667		15
286		3.65		20
25		3.64286		14
88		3.64286		14
157		3.63636		11
300		3.625		24
582		3.625		8
133		3.625		8
659		3.625		8
654		3.61538		13
109		3.6		10
549		3.6		5
163		3.6		5
93		3.6		5
619		3.6		5
131		3.6		5
325		3.6		5
239		3.6		10
432		3.6		10
10		3.6		5
762		3.6		10
281		3.6		5
4		3.6		15
118		3.58824		17
237		3.58824		17
628		3.58333		12
255		3.58333		12
419		3.57143		14
356		3.57143		7
692		3.57143		14
479		3.57143		7
652		3.57143		7
269		3.57143		14
559		3.57143		7
636		3.57143		7
226		3.5625		16
54		3.55556		9
201		3.55556		9
72		3.54545		11
241		3.54545		11
154		3.54545		11
143		3.54545		11
684		3.53846		13
751		3.53333		15
200		3.52941		17
1139		3.5		2
303		3.5		4
1267		3.5		2
945		3.5		4
513		3.5		2
321		3.5		2
833		3.5		6
724		3.5		2
805		3.5		2
952		3.5		4
878		3.5		2
589		3.5		2
16		3.5		2
961		3.5		2
573		3.5		2
27		3.5		4
813		3.5		2
780		3.5		4
283		3.5		8
712		3.5		4
979		3.5		2
984		3.5		2
554		3.5		8
1203		3.5		2
815		3.5		2
1001		3.5		2
620		3.5		2
1009		3.5		2
491		3.5		6
487		3.5		2
159		3.5		8
481		3.5		2
367		3.5		12
91		3.5		12
917		3.5		2
1305		3.5		2
923		3.5		2
675		3.5		2
642		3.5		4
1091		3.5		2
460		3.5		2
925		3.5		4
1030		3.5		2
847		3.5		2
664		3.5		4
1070		3.5		2
447		3.5		8
649		3.5		2
660		3.5		10
855		3.5		6
418		3.5		8
630		3.5		2
349		3.5		2
508		3.5		10
504		3.5		2
503		3.5		2
351		3.5		2
76		3.5		2
164		3.5		8
1485		3.5		2
70		3.5		18
764		3.5		2
495		3.5		2
273		3.46667		15
475		3.46667		15
47		3.45455		11
184		3.45455		11
449		3.45455		11
227		3.45455		11
470		3.45455		11
879		3.45455		11
214		3.45455		11
245		3.44444		9
86		3.44444		9
73		3.44444		9
517		3.42857		7
755		3.42857		7
67		3.42857		7
240		3.42857		7
658		3.42857		7
509		3.42857		7
222		3.42308		26
68		3.41667		12
230		3.41176		17
229		3.4		15
259		3.4		10
404		3.4		5
218		3.4		10
129		3.4		10
591		3.4		10
354		3.4		5
66		3.4		10
485		3.4		5
472		3.4		10
566		3.4		15
461		3.4		5
673		3.4		5
713		3.4		5
153		3.38095		21
663		3.375		8
274		3.375		8
288		3.37037		27
301		3.36364		11
455		3.36364		11
431		3.35714		14
947		3.33333		3
876		3.33333		3
849		3.33333		3
808		3.33333		3
615		3.33333		3
744		3.33333		3
1135		3.33333		3
1149		3.33333		3
379		3.33333		3
319		3.33333		6
289		3.33333		6
1206		3.33333		3
206		3.33333		3
421		3.33333		6
1483		3.33333		3
1034		3.33333		3
466		3.33333		3
467		3.33333		3
490		3.33333		3
505		3.33333		3
538		3.33333		3
609		3.33333		3
607		3.33333		3
26		3.33333		3
30		3.33333		3
1010		3.33333		3
5		3.33333		6
562		3.33333		6
147		3.3		10
81		3.3		10
576		3.3		10
546		3.29412		17
346		3.28571		7
1067		3.25		4
570		3.25		4
162		3.25		4
671		3.25		4
674		3.25		4
326		3.25		12
792		3.25		4
845		3.25		8
941		3.25		4
525		3.25		4
1016		3.25		8
465		3.25		8
951		3.25		4
121		3.24		25
428		3.22222		9
94		3.22222		9
1028		3.22222		9
402		3.22222		9
403		3.21429		14
686		3.2		5
44		3.2		5
1020		3.2		5
13		3.2		10
1073		3.2		5
409		3.2		5
1063		3.2		5
232		3.2		5
294		3.17857		28
77		3.16667		6
271		3.16667		12
63		3.16667		6
720		3.16667		6
802		3.16667		6
53		3.16667		6
866		3.16667		6
436		3.16667		6
919		3.16667		6
378		3.16667		6
625		3.14286		7
2		3.14286		14
3		3.14286		7
17		3.14286		7
597		3.125		16
578		3.11111		9
49		3.11111		9
451		3.08333		12
284		3.07692		13
748		3.0625		16
405		3.05		20
1041		3		1
843		3		3
1455		3		1
1044		3		2
846		3		1
1446		3		1
1444		3		1
1435		3		1
1428		3		1
1413		3		1
1045		3		3
1410		3		1
862		3		2
1406		3		1
1361		3		1
1312		3		1
976		3		1
1555		3		1
809		3		4
977		3		3
1531		3		1
949		3		2
958		3		1
1512		3		1
1496		3		1
826		3		8
1491		3		2
804		3		1
1015		3		2
1022		3		1
942		3		2
838		3		1
1040		3		1
1478		3		1
898		3		2
901		3		2
1205		3		2
933		3		1
1199		3		2
1078		3		2
1190		3		1
1084		3		3
1164		3		1
1153		3		1
1151		3		1
1093		3		1
1145		3		1
1095		3		1
921		3		1
1119		3		1
912		3		2
914		3		1
1115		3		2
916		3		2
1109		3		2
1097		3		1
1311		3		1
865		3		1
1047		3		9
1050		3		1
1284		3		1
1052		3		3
1283		3		1
1282		3		1
1277		3		1
1265		3		1
1061		3		1
874		3		1
1263		3		1
1259		3		1
1248		3		1
1238		3		1
1224		3		1
1222		3		2
1221		3		2
1217		3		5
1074		3		5
1075		3		1
667		3		1
401		3		4
394		3		1
369		3		1
363		3		6
676		3		4
350		3		1
348		3		2
683		3		2
685		3		9
334		3		2
689		3		3
696		3		5
704		3		1
330		3		3
329		3		2
327		3		10
324		3		5
718		3		1
292		3		5
722		3		3
725		3		1
728		3		3
560		3		1
558		3		5
544		3		5
539		3		5
519		3		4
497		3		6
577		3		4
477		3		4
580		3		2
581		3		8
583		3		5
464		3		1
452		3		2
606		3		2
621		3		2
448		3		4
446		3		1
624		3		2
444		3		1
627		3		5
420		3		1
629		3		1
644		3		2
410		3		13
754		3		1
233		3		10
102		3		2
758		3		1
759		3		2
778		3		5
103		3		1
224		3		3
107		3		1
221		3		3
220		3		1
110		3		1
768		3		2
770		3		8
122		3		2
138		3		2
155		3		2
801		3		2
20		3		2
278		3		1
262		3		1
260		3		5
739		3		8
794		3		1
253		3		1
249		3		8
65		3		5
749		3		4
236		3		1
219		2.91667		12
501		2.9		10
679		2.88889		9
747		2.88889		9
665		2.88889		9
820		2.85714		7
825		2.85714		7
21		2.85714		7
412		2.85714		7
552		2.83333		6
779		2.83333		6
280		2.83333		6
343		2.83333		6
797		2.8		5
391		2.8		5
1059		2.8		5
323		2.77778		9
291		2.75		8
322		2.75		4
1014		2.75		4
41		2.75		4
715		2.75		4
781		2.75		4
1244		2.75		4
342		2.75		4
1419		2.75		4
407		2.75		4
926		2.75		8
761		2.75		4
358		2.71429		7
717		2.71429		7
823		2.71429		7
217		2.71429		7
473		2.71429		7
38		2.7		10
231		2.7		10
450		2.66667		6
43		2.66667		3
540		2.66667		3
411		2.66667		6
547		2.66667		3
290		2.66667		3
456		2.66667		3
623		2.66667		3
871		2.66667		3
928		2.66667		3
972		2.66667		3
682		2.66667		3
771		2.66667		3
738		2.66667		3
760		2.66667		6
1035		2.625		8
542		2.6		5
167		2.6		5
930		2.6		5
395		2.6		5
824		2.6		5
708		2.6		5
772		2.6		5
895		2.6		5
678		2.58333		12
756		2.55556		9
946		2.5		4
140		2.5		4
422		2.5		2
254		2.5		2
944		2.5		2
252		2.5		4
417		2.5		2
1239		2.5		2
413		2.5		2
345		2.5		2
637		2.5		2
364		2.5		2
1060		2.5		2
656		2.5		2
264		2.5		4
854		2.5		2
148		2.5		4
1218		2.5		2
1219		2.5		2
1264		2.5		2
765		2.5		2
1274		2.5		2
841		2.5		4
339		2.5		4
388		2.5		2
563		2.5		2
1188		2.5		4
988		2.5		4
998		2.5		2
810		2.5		2
734		2.5		2
556		2.5		2
569		2.5		2
295		2.5		4
106		2.5		2
572		2.5		2
968		2.5		2
575		2.5		2
1440		2.5		2
1023		2.5		2
1437		2.5		2
892		2.5		4
950		2.5		2
1215		2.5		2
605		2.5		2
595		2.5		2
476		2.44444		9
304		2.4		5
373		2.4		5
90		2.4		5
108		2.4		5
1110		2.4		5
235		2.33333		15
29		2.33333		9
986		2.33333		3
139		2.33333		3
1178		2.33333		3
261		2.33333		3
386		2.28571		7
85		2.25		4
687		2.25		4
716		2.25		4
1132		2.25		4
948		2.25		4
890		2.2		5
225		2.16667		6
1079		2.14286		7
723		2		2
726		2		1
1208		2		1
1210		2		1
880		2		2
1655		2		1
1608		2		1
795		2		1
1552		2		1
1513		2		1
785		2		1
80		2		6
1480		2		2
822		2		1
105		2		2
1425		2		1
120		2		2
831		2		4
1336		2		1
1314		2		1
142		2		2
145		2		4
1303		2		5
1299		2		1
1291		2		1
158		2		5
1285		2		1
840		2		1
1253		2		1
856		2		1
741		2		1
1232		2		1
1231		2		3
740		2		1
1105		2		1
666		2		1
1107		2		1
1006		2		1
1112		2		1
362		2		1
360		2		1
999		2		1
934		2		4
940		2		1
541		2		6
932		2		2
398		2		3
548		2		1
931		2		4
982		2		1
1087		2		4
586		2		4
1033		2		1
1025		2		1
384		2		4
308		2		1
1090		2		1
532		2		2
1163		2		1
571		2		1
991		2		2
1036		2		1
551		2		1
383		2		1
1048		2		2
243		1.83333		6
672		1.8		5
338		1.8		5
790		1.75		4
396		1.75		4
719		1.75		4
834		1.66667		3
1407		1.66667		3
769		1.66667		3
1228		1.6		5
1076		1.5		2
816		1.5		2
457		1.5		2
336		1.5		2
1207		1.5		2
978		1.5		2
783		1.5		2
929		1.5		2
567		1.5		2
1280		1.5		2
375		1.33333		3
1089		1.33333		3
594		1		1
775		1		2
1654		1		1
1621		1		1
800		1		1
1021		1		1
579		1		1
1597		1		1
990		1		1
1013		1		1
1527		1		1
35		1		1
1509		1		1
40		1		1
1008		1		1
1494		1		1
564		1		1
84		1		1
78		1		1
1486		1		1
1250		1		2
1242		1		1
1234		1		1
352		1		2
1230		1		1
1128		1		1
680		1		1
1140		1		1
869		1		1
263		1		1
335		1		1
688		1		1
1165		1		1
279		1		1
1170		1		1
1183		1		1
1185		1		1
1195		1		1
112		1		1
1412		1		1
1031		1		1
1408		1		1
130		1		1
1402		1		1
1376		1		1
832		1		1
1037		1		2
424		1		3
1054		1		1
146		1		1
1304		1		1
1066		1		1
1266		1		1
377		1		1
374		1		1
368		1		1

------------------recommend with highest average------------------
Recommend 1286 for user 926
Recommend 1098 for user 926
Recommend 1302 for user 926
Recommend 837 for user 926
Recommend 1126 for user 926
Recommend 494 for user 926
Recommend 1166 for user 926
Recommend 311 for user 926
Recommend 793 for user 926
Recommend 543 for user 926
